tienda,nombre,precio_actual,precio_anterior,descuento_porcentaje,tamaño_botella,tipo_vino,pais_origen,region_origen,uva_varietal,url_producto,fecha_scraping,tiene_descuento,ml_botella,precio_por_ml,segmento_precio
La Europea,Sangre de Toro y,161.0,,,375 ML,Tinto,España,Cataluña,Garnacha Cariñena,https://www.laeuropea.com.mx/vt-sangre-de-toro-cosecha-375ml-10000002150.html,2025-10-31 20:36:23,False,375.0,0.4293,Medio-Bajo
La Europea,Lambrusco Estefanya Rosso,163.99,,,,Tinto,Italia,Emilia Romagna,,https://www.laeuropea.com.mx/ve-estefanya-lambrusco-rosso-tin-750ml-10000010787.html,2025-10-31 20:38:54,False,,,Medio-Bajo
La Europea,Estefanya Lambrusco Blanco,163.99,,,,Espumoso,Italia,Emilia Romagna,,https://www.laeuropea.com.mx/ve-lambrusco-estefanya-blanco-750ml-10000010788.html,2025-10-31 20:39:14,False,,,Medio-Bajo
La Europea,UNDURRAGA CARMENERE,167.2,209.0,20.0,750 ML,Tinto,Chile,Valle Central,,https://www.laeuropea.com.mx/vt-carmenere-undurraga-750ml-10000008323.html,2025-10-31 20:37:49,True,750.0,0.2229,Medio-Bajo
La Europea,"U by Undurraga, Sauvignon Blanc,",167.2,209.0,20.0,750 ML,Blanco,Chile,Valle Central,100% Sauvignon Blanc.,https://www.laeuropea.com.mx/vb-sauv-blanc-undurraga-750ml-10000004463.html,2025-10-31 20:38:14,True,750.0,0.2229,Medio-Bajo
La Europea,Undurraga,167.2,209.0,20.0,750 ML,Blanco,Chile,Valle Central,100% Chardonnay,https://www.laeuropea.com.mx/vb-chard-undurraga-750ml-10000000284.html,2025-10-31 20:38:26,True,750.0,0.2229,Medio-Bajo
La Europea,Lambrusco Cavicchioli Blanco,184.0,,,,Blanco,Italia,Emilia Romaña,,https://www.laeuropea.com.mx/vb-lambrusco-cavicchioli-blanco-750ml-10000004213.html,2025-10-31 20:38:56,False,,,Medio-Bajo
La Europea,Cavicchioli Lambrusco Rosso,184.0,,,750 ML,Tinto,Italia,Emilia-Romagna,Lambrusco,https://www.laeuropea.com.mx/vt-lambrusco-cavicchioli-tinto-750ml-10000002425.html,2025-10-31 20:39:26,False,750.0,0.2453,Medio-Bajo
La Europea,Syrah Elsa Bianchi,188.0,235.0,20.0,,Tinto,Argentina,Mendoza,Syrah.,https://www.laeuropea.com.mx/vt-syrah-elsa-bianchi-750ml-10000005967.html,2025-10-31 20:39:01,True,,,Medio-Bajo
La Europea,ROQUETA CRIN ROJA,189.0,,,750 ML,Tinto,España,Tierra de Castillo,Tempranillo.,https://www.laeuropea.com.mx/vt-crin-roja-tempranillo-750-ml-10000005624.html,2025-10-31 20:37:32,False,750.0,0.252,Medio-Bajo
La Europea,Undurraga Demi Sec,191.25,255.0,25.0,,Espumoso,Chile,Valle Central,,https://www.laeuropea.com.mx/ve-undurraga-demi-sec-750ml-10000007443.html,2025-10-31 20:39:30,True,,,Medio-Bajo
La Europea,Brut Pol Remy,199.0,265.33,25.0,750 ML,Espumoso,Francia,Burdeos,,https://www.laeuropea.com.mx/ve-pol-remy-brut-750ml-10000001795.html,2025-10-31 20:37:17,True,750.0,0.2653,Medio-Bajo
La Europea,Elsa Bianchi,199.75,235.0,15.0,,Tinto,Argentina,Mendoza,Malbec.,https://www.laeuropea.com.mx/vt-malbec-elsa-bianchi-750ml-10000005973.html,2025-10-31 20:37:54,True,,,Medio-Bajo
La Europea,Mision Carignan,201.5,,,,Tinto,México,Baja California,Tempranillo,https://www.laeuropea.com.mx/catalog/product/view/id/5539/s/vt-carignan-temp-mision-santo-toma-750ml-10000005122/category/2/,2025-10-31 20:39:26,False,,,Medio-Bajo
La Europea,Santa Carolina Reserva,206.25,275.0,25.0,,Tinto,Chile,Valle Colchagua,Merlot.,https://www.laeuropea.com.mx/vt-merlot-rva-santa-carolina-750ml-10000002223.html,2025-10-31 20:38:49,True,,,Medio-Bajo
La Europea,Montesierra,209.66,,,,Blanco,España,Somontano,,https://www.laeuropea.com.mx/vb-montesierra-750ml-10000008806.html,2025-10-31 20:36:37,False,,,Medio-Bajo
La Europea,Vino Palacio de Bornos Frizzante Verdejo,212.0,265.0,20.0,750 ML,,España,Rueda,Verdejo,https://www.laeuropea.com.mx/ve-frizzante-bornos-verdejo-750ml-10000014641.html,2025-10-31 20:38:12,True,750.0,0.2827,Medio-Bajo
